id,country,city,citySlug,countrySlug,slug,status,displayName,hasCampus
6529189967904323b224c816,Canada,Etobicoke,etobicoke,canada,hdx-university,TRUE,HDX University,FALSE
652a51e967904323b2295369,France,Lyon,lyon,france,claude-bernard-university-lyon-1-campus-rockefeller,TRUE,Claude Bernard University Lyon 1 - Campus Rockefeller,FALSE
652a523b67904323b229560e,France,Lyon,lyon,france,universite-jean-moulin-lyon-3,TRUE,UniversitÃ© Jean Moulin Lyon 3,FALSE
652a529b67904323b2295ad9,France,Nancy,nancy,france,political-science-campus-university-of-nancy,TRUE,Political Science Campus University of Nancy,FALSE
652a71bc67904323b229c864,France,Nantes,nantes,france,iut-de-nantes,TRUE,IUT de Nantes,FALSE
652a92ba67904323b22a70a7,Portugal,Coimbra,coimbra,portugal,faculty-of-sciences-and-technology-of-the-university-of-coimbra-polo-2,TRUE,Faculty of Sciences and Technology of the University of Coimbra Polo 2,FALSE
652a930767904323b22a7161,Portugal,Coimbra,coimbra,portugal,arca-euac-university-school-of-arts-coimbra,TRUE,ARCA-EUAC University School of Arts Coimbra,FALSE
652a934567904323b22a71f0,Portugal,Coimbra,coimbra,portugal,miguel-torga-institute,TRUE,Miguel Torga Institute,FALSE
652b790e67904323b22afabb,United Kingdom,Birmingham,birmingham,united-kingdom,arden-university-birmingham-campus,TRUE,Arden university - Birmingham Campus,FALSE
652e154d51bca35fe5ae3123,Malta,Hamrun,hamrun,malta,saint-martin-s-institute-of-higher-education,TRUE,Saint Martin's Institute of Higher Education,FALSE
652f66a86d1d32ecbf6ad306,Spain,Barcelona,barcelona,spain,cett-school-of-tourism-hospitality-and-gastronomy,TRUE,"CETT : School of Tourism,Hospitality and Gastronomy",FALSE
65365d997a41aaea2e8e10cf,Austria,Graz,graz,austria,university-of-graz,TRUE,University of Graz,FALSE
6538aa0f7a41aaea2e91f700,Switzerland,ZÃ¼rich,zurich,switzerland,eth-zurich,TRUE,ETH ZÃ¼rich,FALSE
653a2a247a41aaea2e9ea841,United Arab Emirates,Dubai,dubai,united-arab-emirates,international-center-for-biosaline-agriculture-icba,TRUE,International Center for Biosaline Agriculture (ICBA),FALSE
653f5783a4c9783be097315c,Malta,Kalkara,kalkara,malta,global-college-malta,TRUE,Global College Malta,FALSE
653f76baa4c9783be098d14d,Belgium,Brussels,brussels,belgium,erasmus-brussels-university-of-applied-sciences-and-arts,TRUE,Erasmus Brussels University of Applied Sciences and Arts,FALSE
653f865ba4c9783be099849c,Canada,Etobicoke,etobicoke,canada,central-michigan-university-at-humber-college,TRUE,Central Michigan University at HumberÂ College,FALSE
653f874ca4c9783be0999e82,Canada,Mississauga,mississauga,canada,university-of-toronto-mississauga,TRUE,University of Toronto Mississauga,FALSE
653f87d7a4c9783be099a875,Canada,Mississauga,mississauga,canada,canadian-business-college,TRUE,Canadian Business College,FALSE
653f8b75a4c9783be099e615,Canada,Mississauga,mississauga,canada,metalworks-institute,TRUE,Metalworks Institute,FALSE
653f8e39a4c9783be09a3655,Canada,Fredericton,fredericton,canada,university-of-fredericton,TRUE,University of Fredericton,FALSE
653f8ed6a4c9783be09a485d,Canada,Fredericton,fredericton,canada,st-thomas-university,TRUE,St. Thomas University,FALSE
653f8f61a4c9783be09a53ac,Canada,Fredericton,fredericton,canada,yorkville-university-administrative-office,TRUE,Yorkville University - Administrative Office,FALSE
653f92fda4c9783be09a8416,Canada,Brampton,brampton,canada,trios-college-business-technology-healthcare-brampton-campus,TRUE,triOS College Business Technology Healthcare - Brampton Campus,FALSE
653f93a8a4c9783be09a95ad,Canada,Ottawa,ottawa,canada,university-of-ottawa-universite-d-ottawa,TRUE,University of Ottawa / UniversitÃ© dâ€™Ottawa,FALSE
6543f5d8a4c9783be0b7a5b5,United States,Denver (Colorado),denver,united-states,university-of-colorado-2,TRUE,University of Colorado Denver,FALSE
6543f882a4c9783be0b7ab7a,United States,Los Angeles (California),los-angeles,united-states,university-of-southern-california,TRUE,University of Southern California,FALSE
654a1e768fba32e73d8820a0,United Arab Emirates,Sharjah,sharjah,united-arab-emirates,american-university-of-sharjah,TRUE,American University of Sharjah,FALSE
654b6090b41b8d25d942d42b,Germany,Berlin,berlin,germany,berliner-hochschule-fur-technik-bht,TRUE,Berliner Hochschule fÃ¼r Technik (BHT),FALSE
655265311035dab355528f81,Portugal,Lisbon,lisbon,portugal,catolica-lisbon-school-of-business-economics-2,TRUE,CatÃ³lica Lisbon School of Business & Economics,FALSE
6554797771795e93a7881ea1,United Kingdom,Birmingham,birmingham,united-kingdom,the-university-of-law-2,TRUE,The University of Law - Birmingham,FALSE
6555c66871795e93a78e0739,United States,San Francisco (California),san-francisco,united-states,golden-gate-university,TRUE,Golden Gate University,FALSE
6556205271795e93a7943257,United States,Columbus (Ohio),columbus,united-states,franklin-university,TRUE,Franklin University,FALSE
655b05f1cf6d95abe4fdbeda,Canada,Brampton,brampton,canada,canadore-college-2,TRUE,Canadore college,FALSE
655b0aa9cf6d95abe4fe0763,Canada,Toronto,toronto,canada,northeastern-university-3,TRUE,Northeastern University - Toronto,FALSE
655c677fcf6d95abe4099a32,United States,Los Angeles (California),los-angeles,united-states,west-coast-university-center-for-graduate-studies,TRUE,West Coast University - Center for Graduate Studies,FALSE
655f7b1b9782410dba71c9af,United States,Milwaukee (Wisconsin),milwaukee,united-states,university-of-wisconsin-milwaukee,TRUE,University of Wisconsin-Milwaukee,FALSE
6561981b9782410dba7d0efb,United States,Tampa,tampa,united-states,hillsborough-community-college,TRUE,Hillsborough Community College,FALSE
6566074e9782410dba94ffb4,Belgium,Brussels,brussels,belgium,universite-libre-de-bruxelles,TRUE,UniversitÃ© Libre de Bruxelles,FALSE
6566ab049782410dba96cab8,Australia,Melbourne,melbourne,australia,australian-national-institute-of-business-and-technology-anibt,TRUE,Australian National Institute of Business and Technology (ANIBT),TRUE
6566ba429782410dba9710fb,Australia,Perth,perth,australia,canning-college,TRUE,Canning College,FALSE
6566c1469782410dba971e3b,Poland,Wroclaw,wroclaw,poland,wroclaw-university-of-science-and-technology,TRUE,WrocÅ‚aw University of Science and Technology,FALSE
65675b2edbac4b1a18c96936,Canada,Toronto,toronto,canada,niagara-college-toronto-mirvish-campus,TRUE,Niagara College â€“ Toronto Mirvish Campus,FALSE
656991414ece49f5e9092e63,Austria,Neustadt,neustadt,austria,fachhochschule-wiener-neustadt-gmbh,TRUE,Fachhochschule Wiener Neustadt GmbH,FALSE
656da0301f9167f8691ee1a0,Singapore,Singapore,singapore,singapore,institute-of-molecular-and-cell-biology-imcb,TRUE,Institute of Molecular and Cell Biology (IMCB),FALSE
656ed35776bdf39836c1c012,Finland,Helsinki,helsinki,finland,haaga-helia-university-of-applied-sciences-pasila-campus,TRUE,Haaga-Helia University of Applied Sciences - Pasila campus,FALSE
656edb4476bdf39836c25fbf,Canada,North York,north-york,canada,seneca-polytechnic-college-york-campus,TRUE,Seneca Polytechnic College @York Campus,FALSE
656f095676bdf39836c5298a,Canada,Toronto,toronto,canada,humber-international-graduate-school,TRUE,Humber International Graduate School,FALSE
6570211f76bdf39836cc0386,Australia,Melbourne,melbourne,australia,leo-cussen-centre-for-law,TRUE,Leo Cussen Centre for Law,FALSE
6571e6009fd20fd7392aa7c1,Canada,Vancouver,vancouver,canada,selc-college,TRUE,SELC COLLEGE,FALSE
6572b3419fd20fd7392ced5e,Canada,North Bay,north-bay,canada,college-drive-campus,TRUE,College Drive Campus,FALSE
