id,displayName,slug,country,city,countrySlug,citySlug,Parent University Id,Parent University Slug
613aee4dfc9db990e6c5efb1,Queensland University of Technology (QUT) - Garden Point Campus,queensland-university-of-technology-qut-garden-point-campus,Australia,Brisbane,australia,brisbane,5a6870ff32328a1060e065be,queensland-university-of-technology-(qut)
613aee4dfc9db990e6c5ef69,Western Sydney University - Nirimba Campus,western-sydney-university-nirimba-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a6,western-sydney-university
613aee4dfc9db990e6c5ef93,The University of Adelaide - Roseworthy Campus,the-university-of-adelaide-roseworthy-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e06580,the-university-of-adelaide
613aee4dfc9db990e6c5ef91,The University of Adelaide - North Terrace Campus,the-university-of-adelaide-north-terrace-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e06580,the-university-of-adelaide
613aee4dfc9db990e6c5ef96,University of Central Lancashire - Burnley Campus,university-of-central-lancashire-burnley-campus,United Kingdom,Preston,united-kingdom,preston,5a68710032328a1060e0661e,university-of-central-lancashire
613aee4dfc9db990e6c5ef82,Swinburne University of Technology - Hawthorn Campus,swinburne-university-of-technology-hawthorn-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06593,swinburne-university-of-technology
613aee4dfc9db990e6c5ef5a,The University of Sydney - Surry Hills Campus,the-university-of-sydney-surry-hills-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5efac,The University of Notre Dame Perth - Fremantle Campus,the-university-of-notre-dame-perth-fremantle-campus,Australia,Perth,australia,perth,5a6870ff32328a1060e065b7,the-university-of-notre-dame-perth
613aee4dfc9db990e6c5efaa,Deakin University - Geelong Waterfront Campus,deakin-university-geelong-waterfront-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06591,deakin-university
613aee4dfc9db990e6c5efaf,Oxford House College London - OHC London Oxford Street,oxford-house-college-london-ohc-london-oxford-street,United Kingdom,London,united-kingdom,london,5a68710032328a1060e066f9,oxford-house-college-london
613aee4dfc9db990e6c5ef73,La Trobe University - Franklin Street Campus,la-trobe-university-franklin-street-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e0658f,la-trobe-university
613aee4dfc9db990e6c5ef53,University of Bedfordshire - Buckinghamshire Campus,university-of-bedfordshire-buckinghamshire-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef58,The University of Sydney - Mallett Street Campus,the-university-of-sydney-mallett-street-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5efb4,Glasgow Clyde College - Langside Campus,glasgow-clyde-college-langside-campus,United Kingdom,Glasgow,united-kingdom,glasgow,5a68710032328a1060e0663b,glasgow-clyde-college
613aee4dfc9db990e6c5ef6e,Griffith University - South Bank Campus,griffith-university-south-bank-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c2,griffith-university
613aee4dfc9db990e6c5ef8c,TAFE Queensland Brisbane - Caboolture Campus,tafe-queensland-brisbane-caboolture-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c3,tafe-queensland-brisbane
613aee4dfc9db990e6c5ef6c,Griffith University - Mount Gravatt Campus,griffith-university-mount-gravatt-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c2,griffith-university
613aee4dfc9db990e6c5ef5d,The University of Sydney - Burren Street Campus,the-university-of-sydney-burren-street-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5efa5,Curtin University - St George Street Terrace,curtin-university-st-george-street-terrace,Australia,Perth,australia,perth,5a6870ff32328a1060e065b9,curtin-university
613aee4dfc9db990e6c5ef87,Monash University - Caulfield Campus,monash-university-caulfield-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06584,monash-university
613aee4dfc9db990e6c5ef7c,Oxford Brookes University - Swindon Campus,oxford-brookes-university-swindon-campus,United Kingdom,Oxford (UK),united-kingdom,oxford,5a68710032328a1060e06624,oxford-brookes-university
613aee4dfc9db990e6c5ef6d,Griffith University - Nathan Campus,griffith-university-nathan-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c2,griffith-university
613aee4dfc9db990e6c5ef81,Torrens University Australia Adelaide - Wakefield Street Campus,torrens-university-australia-adelaide-wakefield-street-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e0657f,torrens-university-australia-adelaide
613aee4dfc9db990e6c5efbe,University of New South Wales (UNSW) - Sydney CBD Campus,university-of-new-south-wales-unsw-sydney-cbd-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a8,university-of-new-south-wales-(unsw)
613aee4dfc9db990e6c5efa0,University of South Australia (UniSA) - Magill Campus,university-of-south-australia-unisa-magill-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e0657e,university-of-south-australia-(unisa)
613aee4dfc9db990e6c5ef95,University of Central Lancashire - Preston Campus,university-of-central-lancashire-preston-campus,United Kingdom,Preston,united-kingdom,preston,5a68710032328a1060e0661e,university-of-central-lancashire
613aee4dfc9db990e6c5ef86,Monash University - Clayton Campus,monash-university-clayton-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06584,monash-university
613aee4dfc9db990e6c5ef42,University of Wolverhampton - Walsall Campus,university-of-wolverhampton-walsall-campus,United Kingdom,Wolverhampton,united-kingdom,wolverhampton,5a68710032328a1060e0661c,university-of-wolverhampton
613aee4dfc9db990e6c5ef67,Western Sydney University - Campbelltown Campus,western-sydney-university-campbelltown-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a6,western-sydney-university
613aee4dfc9db990e6c5ef56,The University of Sydney - Camperdown/Darlington Campus,the-university-of-sydney-camperdowndarlington-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5efb9,The Manchester College - St John's Campus,the-manchester-college-st-johns-campus,United Kingdom,Manchester,united-kingdom,manchester,5a68710032328a1060e065e0,the-manchester-college
613aee4dfc9db990e6c5ef47,Victoria University - Footscray Nicholson Campus,victoria-university-footscray-nicholson-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef5b,The University of Sydney - St James Campus,the-university-of-sydney-st-james-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
